[ALERT] Group: MAfiya | Trigger: 🍀 | Message: 🍀 | Total Flags in this Group: 1
[ALERT] Group: MAfiya | Trigger: 🌱 | Message: 💊🌱 | Total Flags in this Group: 1
[ALERT] Group: MAfiya | Trigger: 🌱 | Message: 💊🌱 | Total Flags in this Group: 1
[ALERT] Group: MAfiya | Trigger: 🌱 | Message: 💊🌱 | Total Flags in this Group: 2
[ALERT] Group: MAfiya | Trigger: 🌱 | Message: 💊🌱 | Total Flags in this Group: 1
[ALERT] Group: MAfiya | Trigger: 🌱 | Message: 💊🌱 | Total Flags in this Group: 2
[ALERT] Group: MAfiya | Trigger: 🌱 | Message: 💊🌱 | Total Flags in this Group: 1
[ALERT] Group: MAfiya | Trigger: 🌱 | Message: 💊🌱 | Total Flags in this Group: 1
[ALERT] Group: MAfiya | Trigger: 🌱 | Message: 💊🌱 | Total Flags in this Group: 1
[ALERT] Group: MAfiya | Trigger: e | Message: Hello | Total Flags in this Group: 2
[ALERT] Group: MAfiya | Trigger: 🌱 | Message: 💊🌱 | Total Flags in this Group: 1
[ALERT] Group: MAfiya | Trigger: E | Message: E | Total Flags in this Group: 1
[ALERT] Group: MAfiya | Trigger: E | Message: E | Total Flags in this Group: 1
[ALERT] Group: MAfiya | Trigger: 🌱 | Message: 💊🌱 | Total Flags in this Group: 1
